ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail
772430527947893632,SPOC,,[120.] s,True,True
788357434914248448,FFI,21.0,1425.59939,True,True
788357434914248448,FFI,22.0,1425.599393,True,True
788357434914248448,FFI,48.0,475.199789,True,True
788357434914248448,FFI,75.0,158.399924,True,True
788357434914248448,SPOC,,[120.] s,True,True
788357434914248448,SPOC,,[120.] s,True,True
788357434914248448,SPOC,,[20.] s,True,True
788357434914248448,SPOC,,[120.] s,True,True
788357434914248448,SPOC,,[120.] s,True,True
795434510226597760,FFI,21.0,1425.59939,True,True
795434510226597760,FFI,48.0,475.199789,True,True
795434510226597760,SPOC,,[120.] s,True,True
795434510226597760,SPOC,,[20.] s,True,True
795434510226597760,SPOC,,[120.] s,True,True
806039471675754112,FFI,21.0,1425.59939,True,True
806039471675754112,FFI,48.0,475.199789,True,True
806039471675754112,SPOC,,[120.] s,True,True
806039471675754112,SPOC,,[120.] s,True,True
835748825612078848,FFI,21.0,1425.59939,True,True
835748825612078848,FFI,48.0,475.199789,True,True
835748825612078848,FFI,75.0,158.399924,True,True
835748825612078848,SPOC,,[120.] s,True,True
835748825612078848,SPOC,,[120.] s,True,True
844922257281519744,FFI,15.0,1425.599379,True,True
844922257281519744,FFI,14.0,1425.599392,True,True
844922257281519744,FFI,21.0,1425.59939,True,True
844922257281519744,FFI,41.0,475.199767,True,True
844922257281519744,FFI,48.0,475.199789,True,True
844922257281519744,FFI,75.0,158.399924,True,True
844922257281519744,SPOC,,[120.] s,True,True
844922257281519744,SPOC,,[120.] s,True,True
844922257281519744,SPOC,,[120.] s,True,True
844922257281519744,SPOC,,[120.] s,True,True
844922257281519744,SPOC,,[120.] s,True,True
844922257281519744,SPOC,,[120.] s,True,True
847330325186182912,FFI,21.0,1425.59939,True,True
847330325186182912,FFI,48.0,475.199789,True,True
847330325186182912,FFI,75.0,158.399924,True,True
847330325186182912,SPOC,,[120.] s,True,True
847330325186182912,SPOC,,[120.] s,True,True
847330325186182912,SPOC,,[20.] s,True,True
847330325186182912,SPOC,,[120.] s,True,True
868209703104242048,FFI,46.0,475.199787,True,True
868209703104242048,FFI,45.0,475.199789,True,True
868209703104242048,FFI,44.0,475.19979,True,True
868209703104242048,FFI,72.0,158.399928,True,True
868209703104242048,FFI,71.0,158.39993,True,True
868209703104242048,FFI,1751.0,158.399926,True,True
868209703104242048,SPOC,,[120.] s,True,True
868209703104242048,SPOC,,[120.] s,True,True
868209703104242048,SPOC,,[120.] s,True,True
898506166187633280,FFI,20.0,1425.599406,True,True
898506166187633280,FFI,47.0,475.199791,True,True
898506166187633280,FFI,60.0,158.399929,True,True
898506166187633280,SPOC,,[120.] s,True,True
898506166187633280,SPOC,,[120.] s,True,True
898506166187633280,SPOC,,[120.] s,True,True
907066684548911872,FFI,20.0,1425.599406,True,True
907066684548911872,FFI,47.0,475.199791,True,True
907066684548911872,FFI,60.0,158.399929,True,True
907066684548911872,SPOC,,[120.] s,True,True
907066684548911872,SPOC,,[120.] s,True,True
907066684548911872,SPOC,,[120.] s,True,True
912087093295958144,FFI,21.0,1425.59939,True,True
912087093295958144,FFI,47.0,475.199791,True,True
912087093295958144,SPOC,,[120.] s,True,True
912087093295958144,SPOC,,[120.] s,True,True
